track,track_id,artist,artist_id,album_id,album_name,track_score,plays,track_unique_days,dur_min
The Lion's Mouth,7zacyKvVMUsjbtvMiJPWlw,Kajagoogoo,0f3kLT4wvi2mFHlHJgV8Hl,0xM84XzqFGTDsFjPgCrXh9,Islands,39.4,14,8,3.6
Big Apple,5GdmKwHrXRfGT40ZGs0W5R,Kajagoogoo,0f3kLT4wvi2mFHlHJgV8Hl,0xM84XzqFGTDsFjPgCrXh9,Islands,37.34590105293021,11,9,4.16
Ooh to Be Ah - The Construction Mix,4VyNxyzGEAjdGjIQ6rkuBV,Kajagoogoo,0f3kLT4wvi2mFHlHJgV8Hl,1UQRYIgVBO9izI17mpoYOX,The Complete Albums,35.90227211402329,9,9,6.58
Man-Erg - Remastered 2021,3nhQ0t5o70uHAzEgYDedX2,Van Der Graaf Generator,02frazNrWgZCxUEf4UTfHt,1GOUMwPQw5xCizmD1Ixala,Pawn Hearts (Deluxe),34.05063713745625,10,7,10.33
A Plague Of Lighthouse Keepers - Remastered 2021,12BSffsg97h51TlEcwXKTr,Van Der Graaf Generator,02frazNrWgZCxUEf4UTfHt,1GOUMwPQw5xCizmD1Ixala,Pawn Hearts (Deluxe),31.260954971434952,7,7,23.07
The Lion's Mouth - Beast Mix,6RtyDR21q21OXaoKXoAsJK,Kajagoogoo,0f3kLT4wvi2mFHlHJgV8Hl,0xM84XzqFGTDsFjPgCrXh9,Islands,30.622269104753837,9,7,5.65
Sequenze E Frequenze - Live 1988 / Remastered 2020,0lUBWPZWiGQEKNzayTCpxT,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,4RD4REp6RE2kVZ96Uf1TgB,Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),29.708418652181848,8,7,7.09
Lies & Promises,5NP4VlF2gfo3IiqAJmrfDX,Kajagoogoo,0f3kLT4wvi2mFHlHJgV8Hl,1UQRYIgVBO9izI17mpoYOX,The Complete Albums,28.099999999999998,8,7,2.9
Thela Hun Ginjeet,04c3ZTgTH5ci7LuNSx7Wje,King Crimson,7M1FPw29m5FbicYzS2xdpi,20dTbQRkxuOTkf3SFyaT2m,Discipline,27.866782916130344,7,7,6.44
Parallels - 2003 Remaster,73RVbX3YhvDYTSyrzKguSi,Yes,7AC976RDJzL2asmZuz7qil,2U4JHXMiBxsKH4dnYEQg2g,Going for the One (Deluxe Edition),27.633830252846142,7,7,5.9
Lemmings (Including Cog) - Remastered 2021,5OJCbL1RVFYSw07C9e0QUS,Van Der Graaf Generator,02frazNrWgZCxUEf4UTfHt,1GOUMwPQw5xCizmD1Ixala,Pawn Hearts (Deluxe),26.88934101605348,7,6,11.61
No U Turn - Live 1988 / Remastered 2020,3aPHB4pU4fPbPqcoSng1K0,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,4RD4REp6RE2kVZ96Uf1TgB,Giubbe Rosse (Deluxe 30th Anniversary Live & Remastered Edition / Remastered 2020),26.8535250782795,7,7,4.4
Nuvole Nere,7l2Gh3fSaknNtzOxFuadeC,Premiata Forneria Marconi,1MD5pgVzlusqGyuSTcTxvu,3gISC18IyM5W4fd3bVz9hk,Serendipity,26.67862641396251,7,7,4.12
"True Faith - Shep Pettibone 12"" Remix",6gIg6yHRojDG9Px3eSIZ3P,New Order,0yNLKJebCb8Aueb54LYya3,0PSWY4XyjTWppfBb0tBtqu,Brotherhood (Collector's Edition),26.28670666421204,7,6,9.06
Into the Lens,2gK9dAy6TgeOYvdlspWbdU,Yes,7AC976RDJzL2asmZuz7qil,0HoF3Ir1IYbIkvrxXrLGOB,Drama (Deluxe Edition),26.143073951433824,7,6,8.54
Apparenza e realtà,2sG6kG8mEDaiv7AN0TJ310,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,0b33cACjsSPVBchGgsFGMu,Universi paralleli di Franco Battiato,25.799999999999997,8,6,3.65
Into The Storm - Remastered,6FvC8Zyr210AlHtdxinvdv,Yes,7AC976RDJzL2asmZuz7qil,43GYHKcDsX1iO3KTwPwyfo,From A Page,25.624901732674473,7,6,6.9
Tempus Fugit,6YmnF4T8NFadmlIbF6yGjB,Yes,7AC976RDJzL2asmZuz7qil,0HoF3Ir1IYbIkvrxXrLGOB,Drama (Deluxe Edition),24.965423097480237,7,6,5.26
Vivaldi,26oHuX40kl6CbJOE2fYzp2,Curved Air,3UtSTTCQ0EMUQxmsfZ3Px1,5KlxVQrxfXom4ttbE6trkc,Air Conditioning,24.236265718616025,6,6,7.51
The Garden - Instrumental,6jSuHSZNMhqR9BYCFgug6N,Kajagoogoo,0f3kLT4wvi2mFHlHJgV8Hl,1UQRYIgVBO9izI17mpoYOX,The Complete Albums,23.5,8,5,2.86
